Incident_number,division,Zone,market_area,location_name,facility_type,description_of_location,Date_of_incident,time_of_incident,involved_employee_id,INVOLVED_EMPLOYEE_TITLE,INCIDENT_TYPE,WAS_A_MOTOR_VEHICLE_INVOLVED,DATE_REPORTED,HOW_DID_THE_INJURY_OCCUR,WHAT_WAS_THE_INJURY_OR_ILLNESS,DESCRIPTION_OF_INCIDENT,ROOT_CAUSE,INITIAL_ROOT_CAUSE,WHY_DID_THIS_OCCUR__WHY,WHY_DID_THIS_OCCUR__WHY1
CY25-00417,EASTERN DIVISION,SOUTHEAST ZONE,ATLANTA AP,ATLANTA AP (01450-11),AIRPORT,Shuttle staging area,4/17/2025,3:14 PM,853270,Instant Return Rep,Employee Incident,No,4/18/2024,Door closed on hand/finger,Laceration of Finger,Vehicle door closed unexpectedly on employee's finger in Shuttle staging area.,Poor Ergonomics,Inadequate preventive maintenance created ergonomic hazard.,"Why was door closed on hand/finger not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00943,WESTERN DIVISION,SOUTHWEST ZONE,DALLAS-FT WORTH AP,DALLAS LOVE FIELD (01602-11),HLE,Customer pickup zone,8/27/2025,5:56 PM,741804,Transporter Car,Employee Incident,No,8/29/2024,Vehicle collision at intersection,Contusion/Bruise of Hand,MVA in Customer pickup zone involving Hertz vehicle. Third-party driver cited as at fault.,Customer/3rd Party/Vendor related incident,Third-party delivery vehicle operating unsafely in return area.,"Why was vehicle collision at intersection not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00890,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Breakroom,8/14/2025,10:14 AM,287555,Customer Experience Associate,Property Damage,No,8/14/2024,Struck head on low-hanging object,Burn of Hand,Employee struck head on low clearance fixture in Breakroom.,Process not error-proof,No two-person requirement enforced for heavy lift tasks.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00251,CANADA,CA ALBERTA ZONE,TORONTO AP,TORONTO PEARSON INTL (08200-11),AIRPORT,Fuel island,3/6/2025,9:21 AM,103704,VSA,Third Party or Contractor Incident,No,3/8/2024,Tripped over equipment,Other of Multiple Body Parts,Tripping hazard from unsecured equipment in Fuel island caused fall.,Customer/3rd Party/Vendor related incident,Third-party delivery vehicle operating unsafely in return area.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00326,WESTERN DIVISION,SOUTHWEST ZONE,DENVER AP,DENVER INTL AP (02200-11),HLE,Loading dock,3/25/2025,8:21 PM,327408,Fleet Coordinator,Customer Incident,No,3/27/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Wet conditions in Loading dock led to slip incident. Employee followed reporting protocols.,Customer/3rd Party/Vendor related incident,Vendor equipment left unsecured in shared workspace.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00727,WESTERN DIVISION,SOUTH PACIFIC ZONE,SILICON VALLEY,UBER SOUTH SAN FRANCISCO (04505-22),TNC,Employee entrance,7/1/2025,5:21 AM,673929,Service Agent,Third Party or Contractor Incident,No,7/3/2024,Chemical splash during cleaning,No Physical Injury,Improper PPE use during chemical cleaning in Employee entrance led to splash exposure.,Customer/3rd Party/Vendor related incident,Customer became aggressive during return dispute.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01097,EASTERN DIVISION,MID ATLANTIC ZONE,MIAMI AP,MIAMI INTL AP (01300-10),HLE,Parking garage,10/2/2025,6:14 AM,995304,Lot Attendant,Property Damage,No,10/3/2024,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,Employee sustained back strain while lifting equipment in Parking garage.,Process not error-proof,Standard process relies on individual awareness rather than engineered controls.,"Why was lifting heavy object caused back strain not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00525,EASTERN DIVISION,MID ATLANTIC ZONE,NEW YORK JFK,JFK INTL AP (02100-14),AIRPORT,Vehicle wash area,5/13/2025,6:14 PM,269172,Service Agent,Property Damage,No,5/13/2024,Fall from vehicle step,Sprain/Strain or Tear of Lower Back Area,Wet step caused employee to slip and fall in Vehicle wash area.,Unpredictable event (personal issue),Employee had undisclosed pre-existing condition that contributed.,"Why was fall from vehicle step not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00891,WESTERN DIVISION,NORTH PACIFIC ZONE,LOS ANGELES AP (LAX),LOS ANGELES INTL AP (01101-15),AIRPORT,Return area,8/15/2025,6:07 AM,905843,Mechanic B,Property Damage,No,8/17/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Employee reported onset of repetitive strain after extended shift in Return area.,Process not error-proof,Warning signage absent or not visible from task position.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01958,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Employee entrance,4/24/2026,9:07 AM,828361,Counter Sales Rep,Customer Incident,No,4/25/2025,Struck head on low-hanging object,Burn of Hand,Employee struck head on low clearance fixture in Employee entrance.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver ran red light at intersection.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01016,EASTERN DIVISION,MID ATLANTIC ZONE,NEW YORK JFK,JFK INTL AP (02100-14),AIRPORT,Employee entrance,9/14/2025,8:56 AM,191928,Counter Sales Rep,Property Damage,No,9/15/2024,Struck head on low-hanging object,Burn of Hand,Employee did not notice overhead obstruction while working in Employee entrance.,Poor Ergonomics,No ergonomic assessment completed for this task.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00600,WESTERN DIVISION,NORTH PACIFIC ZONE,SEATTLE AP,SEATTLE-TACOMA INTL (03100-12),AIRPORT,Parking garage,5/30/2025,4:14 PM,744129,Shuttle Driver,Property Damage,No,5/31/2024,Slip on fuel spill,Contusion/Bruise of Hand,Undetected fuel spill in Parking garage led to slip and fall incident.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver distracted at time of collision.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
